m_phi,Delta_phi_ini,sector
0.3702,1.5260000000000002,B
0.3702,1.5280000000000002,B
0.3702,1.5300000000000002,B
0.3702,1.5320000000000003,B
0.3702,1.5340000000000003,B
0.3702,1.5360000000000003,B
0.3702,1.5380000000000003,B
0.3702,1.5400000000000003,B
0.3702,1.5420000000000003,B
0.3702,1.5440000000000003,B
0.3702,1.5460000000000003,B
0.3702,1.5480000000000003,B
0.3702,1.5500000000000003,B
0.3702,1.5520000000000003,B
0.3702,1.5540000000000003,B
0.3702,1.5560000000000003,B
0.3702,1.5580000000000003,B
0.3702,1.5600000000000003,B
0.3702,1.5620000000000003,B
0.3702,1.5640000000000003,B
0.3702,1.5660000000000003,B
0.3702,1.5680000000000003,B
0.3702,1.5700000000000003,B
0.3702,1.5720000000000003,B
0.3702,1.5740000000000003,B
0.3702,1.5760000000000003,B
0.3702,1.5780000000000003,B
0.3702,1.5800000000000003,B
0.3702,1.5820000000000003,B
0.3702,1.5840000000000003,B
0.3702,1.5860000000000003,B
0.3702,1.5880000000000003,B
0.3702,1.5900000000000003,B
0.3702,1.5920000000000003,B
0.3702,1.5940000000000003,B
0.3702,1.5960000000000003,B
0.3702,1.5980000000000003,B
0.3702,1.6000000000000003,B
0.3702,1.6020000000000003,B
0.3702,1.6040000000000003,B
0.3702,1.6060000000000003,B
0.3702,1.6080000000000003,B
0.3702,1.6100000000000003,B
0.3702,1.6120000000000003,B
0.3702,1.6140000000000003,B
0.3702,1.6160000000000003,B
0.3702,1.6180000000000003,B
0.3702,1.6200000000000003,B
0.3702,1.6220000000000003,B
0.3702,1.6240000000000003,B
0.3702,1.6260000000000003,B
0.3702,1.6280000000000003,A
0.3702,1.6300000000000003,A
0.3702,1.6320000000000003,A
0.3702,1.6340000000000003,A
0.3702,1.6360000000000003,A
0.3702,1.6380000000000003,A
0.3702,1.6400000000000003,A
0.3702,1.6420000000000003,A
0.3702,1.6440000000000003,A
0.3702,1.6460000000000004,A
0.3702,1.6480000000000004,A
0.3702,1.6500000000000004,A
0.3702,1.6520000000000004,A
0.3702,1.6540000000000004,A
0.3702,1.6560000000000004,A
0.3702,1.6580000000000004,A
0.3702,1.6600000000000004,A
0.3702,1.6620000000000004,A
0.3702,1.6640000000000004,A
0.3702,1.6660000000000004,A
0.3702,1.6680000000000004,A
0.3702,1.6700000000000004,A
0.3702,1.6720000000000004,A
0.3702,1.6740000000000004,A
0.3702,1.6760000000000004,A
0.3702,1.6780000000000004,A
0.3702,1.6800000000000004,A
0.3702,1.6820000000000004,A
0.3702,1.6840000000000004,A
